id,reference_thing_id,value
1,1,-0.0741
2,2,-0.0986
3,6,-0.0244
4,7,-0.1429
5,8,0.0175
6,9,-0.0476
7,10,0.0694
8,11,-0.0408
9,12,-0.0492
10,13,-0.2459
11,14,0.28
12,15,-0.175
13,17,0.0385
14,18,-0.1014
15,19,0.0476
16,20,-0.0909
17,21,-0.2308
18,22,0.1333
19,23,0.3509
20,24,-0.0833
21,25,0.0462
22,26,0.0125
23,28,-0.25
24,29,-0.275
25,30,-0.2
26,37,-0.0968
27,40,-0.2128
28,44,-0.0727
29,46,-0.0806
30,49,-0.0357
31,50,0.025
32,53,-0.2381
33,54,0.1404
34,55,0.25
35,56,-0.2222
36,58,-0.1111
37,59,0.0449
38,61,-0.0133
39,62,-0.15
40,63,-0.1807
41,64,-0.0455
42,65,-0.1111
43,66,0
44,67,-0.0455
45,69,-0.0556
46,70,-0.2192
47,71,-0.2609
48,72,-0.129
