identifier,COUNT(*)
012a74c5c9194651b5491332fe5fc36e,5
0607bc0a60a547c0910846e0096721df,95
0c32137be8a146eaa3d3fd736519fbba,50
0f6159735a224d88a050864ae5a4bc51,336
11ff30ed7d8f4dab8b1dcd7450e7b507,20
23d7cf13cedd48bb95764e25f1c38bd7,20
247a42cf4ce8484f9b4fccc55c2fb4fc,29
31103cb3a0554f13b5e34b8fa32ea588,615
39e583470a9645d8bd32a4ad6963835b,20
3a4ded8ac1e74d82bdf22c6eea6fef59,100
483d3900ecef4ccd92f170249a01b634,70
54cda182f51d4cd0b9e0f0fef5ddb5d1,131
55757d23700d4867a712ddc23204ff84,40
561af6967383466a9838f517b2cb453c,240
56588921a12346df9961a8b9fe3afb89,175
5e8ab0a54cdd4e64987f8a4e1e5365f6,70
6d0c7159a5c84d108cf952dad81cda28,103
7499357b35774b3aba7c99e582b8135d,114
7f82f67b83e7407893ee02b6a05c6250,30
847f8c16e3db4abb928b82307f326cf6,25
98931e0f62854f40b4a79c675e556a03,35
a4526a986af64f918da23ef2f7bd783a,30
ab7d821b40714e06a40493ad6444d869,30
bf0d294c4b9149a1b768250db90591a3,10
bfe4891eca624c7c99db675b6f82421c,30
c40c938b83464d25ad4c5aebab4cf470,45
c7147dcfbcdf428f819527549d90306a,37
c93e18f2303e46a8be0ffad5554df2a6,44
d0d6c6f708684db282bd63286838ba37,10
d0fe1b6a1f3c4ef8ae91d3db071d2804,50
e09bad029ab347d0a0aa591f1e0d4728,154
e292bc7bbf30442ea7c0af055748863c,220
e78038f60a3c4ed6ab3ebcfb771e18f1,20
ea1f2ef371664b0abb590f0c3af4c67d,95
f6b91c94308745c4a164750e9fbe12a7,78
